iteration,winner,appleEaten0,appleEaten1,duration
0,AdderBoaCobra,5,3,181.931
1,tie,1,1,14.258
2,AdderBoaCobra,5,2,429.793
3,PUCTBot,2,3,243.763
4,AdderBoaCobra,5,1,181.815
5,AdderBoaCobra,10,7,181.455
6,AdderBoaCobra,4,2,58.241
7,AdderBoaCobra,5,3,140.553
8,PUCTBot,5,4,97.804
9,AdderBoaCobra,4,1,57.279
10,AdderBoaCobra,7,6,181.275
11,AdderBoaCobra,8,6,181.299
12,PUCTBot,7,9,107.567
13,PUCTBot,8,9,181.299
14,AdderBoaCobra,9,7,181.277
15,AdderBoaCobra,5,3,98.933
16,PUCTBot,10,11,181.434
17,AdderBoaCobra,5,4,181.383
18,PUCTBot,5,6,182.115
19,PUCTBot,7,8,181.18
20,tie,5,5,119.118
21,PUCTBot,5,9,181.139
22,AdderBoaCobra,5,3,139.426
23,AdderBoaCobra,5,3,60.613
24,AdderBoaCobra,5,4,178.88
25,PUCTBot,9,11,181.423
26,AdderBoaCobra,4,2,80.913
27,AdderBoaCobra,9,7,181.372
28,AdderBoaCobra,5,3,151.646
29,AdderBoaCobra,7,9,150.337
30,PUCTBot,5,4,143.031
31,PUCTBot,0,2,53.417
32,AdderBoaCobra,5,3,97.701
33,AdderBoaCobra,6,5,126.572
34,PUCTBot,6,9,181.144
35,tie,7,7,181.375
36,AdderBoaCobra,7,6,181.809
37,AdderBoaCobra,9,8,181.405
38,PUCTBot,6,11,181.789
39,AdderBoaCobra,3,3,71.211
40,AdderBoaCobra,7,6,182.124
41,tie,7,7,182.144
