iteration,winner,appleEaten0,appleEaten1,duration
0,AdderBoaCobra,4,2,15.329
1,AdderBoaCobra,4,3,11.017
2,AdderBoaCobra,4,1,14.893
3,AdderBoaCobra,11,10,76.588
4,tie,13,13,75.345
5,tie,3,3,27.265
6,tie,7,7,18.194
7,RolloutBot,1,3,6.769
8,tie,1,1,3.763
9,tie,0,0,3.756
10,tie,2,2,12.556
11,tie,5,5,25.691
12,RolloutBot,1,2,4.063
13,tie,1,1,3.757
14,AdderBoaCobra,2,4,18.475
15,AdderBoaCobra,4,3,16.386
16,tie,11,11,55.777
17,AdderBoaCobra,2,1,5.863
18,tie,2,2,7.965
19,AdderBoaCobra,2,0,4.67
20,AdderBoaCobra,4,2,21.496
21,AdderBoaCobra,3,2,11.275
22,tie,0,0,4.36
23,AdderBoaCobra,13,16,72.065
24,AdderBoaCobra,5,3,26.336
25,tie,5,5,27.216
26,RolloutBot,0,2,5.563
27,AdderBoaCobra,5,4,26.009
28,tie,4,4,20.594
29,AdderBoaCobra,4,1,7.053
30,tie,1,1,3.748
31,AdderBoaCobra,5,4,21.771
32,tie,5,5,30.192
33,AdderBoaCobra,5,3,19.704
34,AdderBoaCobra,4,0,18.47
35,AdderBoaCobra,3,2,13.057
36,AdderBoaCobra,11,13,54.475
37,tie,2,2,6.774
38,AdderBoaCobra,2,1,8.559
39,AdderBoaCobra,2,1,4.656
40,AdderBoaCobra,17,19,101.392
41,AdderBoaCobra,2,1,6.186
42,AdderBoaCobra,15,13,88.423
43,AdderBoaCobra,5,3,24.793
44,AdderBoaCobra,4,3,15.766
45,AdderBoaCobra,6,8,45.501
46,RolloutBot,7,6,41.325
47,RolloutBot,1,3,4.675
48,AdderBoaCobra,13,12,63.833
49,AdderBoaCobra,3,0,5.252
