iteration,winner,appleEaten0,appleEaten1,duration

0,AdderBoaCobra,5,3,182.674
1,tie,5,5,181.797
2,AdderBoaCobra,5,0,181.846
3,AdderBoaCobra,5,2,181.894
4,AdderBoaCobra,5,3,181.807
5,AdderBoaCobra,5,1,181.784
6,AdderBoaCobra,5,2,181.903
7,AdderBoaCobra,7,5,181.978
8,AdderBoaCobra,5,4,181.152
9,AdderBoaCobra,5,2,181.815
10,AdderBoaCobra,9,7,181.746
11,AdderBoaCobra,5,3,181.8
12,AdderBoaCobra,5,4,181.856
13,AdderBoaCobra,5,3,181.728
14,AdderBoaCobra,1,0,41.52
15,AdderBoaCobra,7,5,181.773
16,AdderBoaCobra,4,2,77.215
17,AdderBoaCobra,6,3,181.873
18,AdderBoaCobra,5,3,181.922
19,AdderBoaCobra,5,2,182.096
20,AdderBoaCobra,7,6,181.77
21,AdderBoaCobra,5,0,171.128
22,AdderBoaCobra,5,3,181.925
23,AdderBoaCobra,5,3,181.813
24,TheBot,5,1,118.912
25,AdderBoaCobra,5,0,181.935
26,AdderBoaCobra,5,3,181.858
27,AdderBoaCobra,5,1,181.728
28,AdderBoaCobra,5,4,181.989
29,AdderBoaCobra,5,3,696.832
30,AdderBoaCobra,7,6,1080.275
31,tie,0,0,1058.939
32,AdderBoaCobra,5,4,181.07
33,AdderBoaCobra,5,3,182.2
34,AdderBoaCobra,5,5,146.636
35,AdderBoaCobra,6,6,122.658
36,AdderBoaCobra,5,0,181.321
37,AdderBoaCobra,5,0,182.128
38,AdderBoaCobra,5,0,149.547
39,AdderBoaCobra,5,1,181.953
40,AdderBoaCobra,5,2,182.005
41,AdderBoaCobra,5,2,182.25
42,AdderBoaCobra,5,3,181.819
43,AdderBoaCobra,5,2,451.779
44,AdderBoaCobra,5,3,181.768
45,AdderBoaCobra,5,1,181.919
46,AdderBoaCobra,6,6,102.658
47,AdderBoaCobra,6,1,171.321
48,AdderBoaCobra,5,2,132.128
49,AdderBoaCobra,5,3,129.547
