iteration,winner,appleEaten0,appleEaten1,duration
0,RolloutBot,6,19,181.974
1,PUCTBot,7,9,133.09
2,RolloutBot,8,11,181.47
3,RolloutBot,7,15,181.712
4,PUCTBot,9,12,177.949
5,RolloutBot,4,14,181.465
6,PUCTBot,7,4,100.278
7,PUCTBot,9,10,152.317
8,PUCTBot,4,12,162.167
9,RolloutBot,3,5,53.811
10,RolloutBot,1,3,35.861
11,RolloutBot,3,5,56.476
12,RolloutBot,10,11,181.614
13,RolloutBot,6,5,78.79
14,PUCTBot,9,8,152.028
15,PUCTBot,11,10,181.788
16,RolloutBot,9,15,181.605
17,PUCTBot,3,0,20.605
18,PUCTBot,8,13,173.352
19,RolloutBot,2,10,97.717
20,PUCTBot,12,8,129.697
21,tie,13,13,181.622
22,PUCTBot,7,10,119.919
23,tie,3,3,30.495
24,tie,5,5,75.31
25,RolloutBot,2,8,98.423
26,RolloutBot,8,10,128.966
27,PUCTBot,4,3,63.574
28,PUCTBot,11,10,181.81
29,RolloutBot,3,14,181.431
30,PUCTBot,4,6,68.043
31,RolloutBot,11,13,181.079
32,PUCTBot,8,12,136.182
33,PUCTBot,3,2,32.675
34,PUCTBot,6,15,170.855
35,tie,1,1,43.074
36,RolloutBot,0,3,47.717
37,RolloutBot,1,7,97.631
38,RolloutBot,8,12,140.656
39,RolloutBot,4,5,43.045
40,RolloutBot,5,17,181.804
41,PUCTBot,11,6,144.832
42,RolloutBot,4,9,75.948
43,RolloutBot,10,13,181.65
44,PUCTBot,11,14,163.596
45,tie,11,11,181.367
46,PUCTBot,3,6,69.882
47,PUCKBot,4,10,70.01
48,RolloutBot,5,6,43.045
49,RolloutBot,5,16,181.804
