iteration,winner,appleEaten0,appleEaten1,duration
0,PUCTBot,9,2,182.303
1,PUCTBot,9,1,181.364
2,PUCTBot,8,1,181.289
3,PUCTBot,8,2,181.09
4,PUCTBot,7,1,181.887
5,PUCTBot,7,1,182.808
6,PUCTBot,10,0,181.154
7,PUCTBot,7,5,181.175
8,PUCTBot,6,3,181.052
9,PUCTBot,8,2,182.758
10,PUCTBot,7,1,381.369
11,TheBot,0,1,467.228
12,tie,1,1,935.969
13,PUCTBot,8,2,181.065
14,PUCTBot,8,1,181.245
15,PUCTBot,5,1,181.151
16,PUCTBot,10,4,181.726
17,PUCTBot,10,4,181.726
18,PUCTBot,7,0,181.325
19,PUCTBot,8,0,182.696
20,PUCTBot,9,1,181.373
21,PUCTBot,10,2,181.142
22,PUCTBot,7,5,181.324
23,PUCTBot,5,1,182.796
24,PUCTBot,7,1,181.054
25,PUCTBot,5,3,182.728
26,TheBot,3,7,182.78
27,PUCTBot,6,4,181.077
28,PUCTBot,7,2,181.187
29,PUCTBot,13,2,181.055
30,PUCTBot,9,2,181.19
31,PUCTBot,11,0,181.318
32,PUCTBot,8,4,181.193
33,PUCTBot,8,4,181.183
34,PUCTBot,7,4,181.254
35,PUCTBot,9,6,181.139
36,PUCTBot,10,0,182.831
37,PUCTBot,10,1,181.197
38,PUCTBot,5,3,181.215
39,PUCTBot,12,2,181.214
40,PUCTBot,11,2,181.197
41,PUCTBot,1,0,305.061
42,PUCTBot,6,0,181.266
43,PUCTBot,8,3,181.434
