iteration,winner,appleEaten0,appleEaten1,duration
0,RolloutBot,3,10,119.072
1,RolloutBot,0,0,2.959
2,RolloutBot,0,0,3.064
3,RolloutBot,0,0,2.091
4,TheBot,1,0,7.007
5,RolloutBot,0,0,2.951
6,RolloutBot,0,1,5.067
7,RolloutBot,0,0,2.999
8,RolloutBot,0,0,2.048
9,TheBot,3,1,12.799
10,RolloutBot,6,8,99.054
11,RolloutBot,0,1,12.764
12,RolloutBot,1,0,11.179
13,RolloutBot,0,0,2.999
14,RolloutBot,3,13,135.179
15,RolloutBot,1,4,52.61
16,RolloutBot,0,0,2.919
17,RolloutBot,0,0,2.915
18,RolloutBot,5,14,181.644
19,TheBot,4,2,11.7
20,RolloutBot,1,6,77.253
21,RolloutBot,3,18,181.65
22,RolloutBot,4,3,59.998
23,RolloutBot,1,3,55.482
24,RolloutBot,1,1,37.055
25,RolloutBot,5,18,181.107
26,TheBot,3,1,30.434
27,RolloutBot,0,0,2.922
28,RolloutBot,7,15,181.905
29,RolloutBot,4,10,89.015
30,RolloutBot,9,9,141.031
31,RolloutBot,1,7,107.522
32,RolloutBot,0,0,2.049
33,RolloutBot,0,1,19.72
34,RolloutBot,4,9,109.267
35,RolloutBot,3,8,82.684
36,RolloutBot,2,2,44.057
37,RolloutBot,1,3,29.472
38,RolloutBot,0,0,2.049
39,RolloutBot,1,8,88.645
40,RolloutBot,2,10,115.536
41,RolloutBot,0,2,18.374
42,TheBot,7,4,73.859
43,RolloutBot,0,2,17.519
44,RolloutBot,1,4,44.068
45,RolloutBot,6,13,181.591
46,RolloutBot,3,7,94.989
47,RolloutBot,3,4,78.433
48,RolloutBot,1,1,21.702
49,RolloutBot,1,5,36.618
